umap2d_1,umap2d_2,dynamics_bin
19.131342,12.072467,5.0
21.12802,11.795662,5.0
6.7385025,9.514752,0.0
8.498374,10.425492,0.0
6.341391,9.676417,0.0
9.6757,10.507964,1.0
19.610348,10.941691,4.0
19.853176,10.850045,4.0
23.909866,11.152084,5.0
24.220156,11.265613,5.0
4.8419895,10.7212305,0.0
4.041014,10.056448,0.0
20.11435,13.499932,5.0
13.877534,12.72737,2.0
13.984105,12.750828,2.0
23.04463,10.883182,5.0
23.550861,10.969509,5.0
23.666775,11.030192,5.0
17.945877,13.062043,5.0
21.736542,12.349998,5.0
22.096212,12.238099,5.0
5.0386405,10.737543,0.0
5.4351,10.987757,0.0
5.5411057,11.330834,0.0
9.141848,10.784425,0.0
10.376934,11.051386,1.0
9.83268,10.949859,0.0
5.171551,10.157664,0.0
5.289614,10.131126,0.0
4.481399,10.329806,0.0
23.720636,11.515983,5.0
14.358447,13.628884,2.0
14.56582,13.663348,2.0
14.500678,13.624248,2.0
15.129097,13.636279,3.0
15.038425,13.614033,3.0
11.3681555,11.716772,1.0
21.752548,11.085931,5.0
21.593054,10.972817,5.0
18.611523,11.961196,4.0
20.418304,11.916356,5.0
10.660025,10.48548,1.0
11.437658,11.2597,1.0
23.97174,12.379017,5.0
23.05852,12.868185,5.0
23.190313,12.817363,5.0
22.842894,12.913153,5.0
9.319558,10.750601,0.0
6.152176,10.920232,0.0
5.862238,10.820627,0.0
5.915942,10.962599,0.0
7.2255554,11.781272,0.0
5.4783254,10.606453,0.0
8.86153,9.561697,0.0
8.661541,9.432449,0.0
8.818641,9.548314,0.0
23.41632,10.953419,5.0
8.604762,9.496342,0.0
5.2374215,10.800749,0.0
