scheme,rmse_followup
A,0.1799554192759683
A,0.0571302694804031
A,0.0627398608543449
A,0.048045923660076
A,0.13169181529444
A,0.0670252584801862
A,0.0764033444650211
A,0.0730965402640775
A,0.0560906868824647
A,0.0778241335028303
A,0.0608103240805965
A,0.0790209302609654
A,0.0530294098350024
A,0.0806773455342881
A,0.1810725113693037
A,0.0663121340559115
A,0.1232506796993439
A,0.0726156267934985
A,0.0813526029920592
A,0.1048585382129937
A,0.2841786524549158
A,0.0663615058297844
A,0.1520304205096815
A,0.0673026436514559
A,0.0852263352751373
A,0.1354800398845302
A,0.203332713752945
A,0.0769767666173056
A,0.0561629464431337
A,0.1548111386233494
A,0.0586564833667777
A,0.2281663675331444
A,0.1170466412607606
A,0.1098492336585176
A,0.1731866957115719
A,0.1559031675972978
A,0.0438506553347909
A,0.0561278384339141
A,0.1117840086753062
A,0.0967670264775816
A,0.0546935191190189
A,0.0729723103472137
A,0.0469750614854761
A,0.0720194095368039
A,0.3550425456215897
A,0.1013400027679533
A,0.0740414800543711
A,0.0739541731824055
A,0.0704541321271639
A,0.2339253549396819
A,0.1196816974395667
A,0.1045811825883214
A,0.1034513029637091
A,0.0498773687427729
A,0.0641586323407233
A,0.1114086946336847
A,0.0655655753470156
A,0.0850742177512167
A,0.0724111557186032
A,0.0722975624925255
A,0.0432966026260227
A,0.0608761942218613
A,0.0432172134105983
A,0.0761863796827152
A,0.142628561765891
A,0.0521244817530097
A,0.0757353043106103
A,0.1085916961219927
A,0.0530441629141817
A,0.0702114046364035
A,0.0683762846246621
A,0.0690409829415578
A,0.0421853330481444
A,0.0616797625606163
A,0.1435781011360328
A,0.3168128166908821
A,0.1065671919179866
A,0.0814307485228222
A,0.0645008455877841
A,0.0613507453668951
A,0.0980353347016457
A,0.0712015765447434
A,0.1439761589525175
A,0.068279644395887
A,0.0922979085491594
A,0.0667787666992855
A,0.060680883703905
A,0.0963904409018768
A,0.0669000664499563
A,0.0778517296383762
A,0.058721494100226
A,0.0661650018170693
A,0.0561176090567778
A,0.0356703756319115
A,0.0462675367254243
A,0.0612258002423268
A,0.0662119332934853
A,0.0995665162622693
A,0.0631329141087601
A,0.0911856647466545
A,0.1145041293300033
A,0.1452035170445059
A,0.1158973429775106
A,0.1053938825118174
A,0.0618263724555234
A,0.0620150761055828
A,0.0572314152679071
A,0.0585751346871422
A,0.0329915419371549
A,0.0552731229880404
A,0.0650735748716633
A,0.0773370727622667
A,0.1250298539740728
A,0.1383854550079618
A,0.0401436886071489
A,0.0368853567293549
A,0.0628927545528534
A,0.0746484248443032
A,0.0908189118400351
A,0.0644305235470781
A,0.1579259730124885
A,0.1978998892974562
A,0.0830315188387462
A,0.1121178031843385
A,0.0554745053897981
A,0.0908238588582333
A,0.0495437707098519
A,0.0925420946551938
A,0.0496859299204161
A,0.0794458358803142
A,0.0767561972445134
A,0.1557449766546083
A,0.0663852769070426
A,0.0720605908484642
A,0.0526865977538072
A,0.0705367949063546
A,0.2228327050355995
A,0.1517435831879317
A,0.0757821942547378
A,0.0880651401868271
A,0.0689750204728878
A,0.0464865889342479
A,0.0524893638248968
A,0.0908778023094438
A,0.0453642654230274
A,0.1637872030222038
A,0.0326410539949644
A,0.0517772221419767
A,0.1076011196060945
A,0.0699912957652386
A,0.0693881286586349
A,0.1440199560278277
A,0.1536412363677956
A,0.0753873574143579
A,0.071180539523442
A,0.1502794726714247
A,0.0548874487247867
A,0.0356434668391064
A,0.2101849485988652
A,0.0599817250158558
A,0.0474836335059738
A,0.1897181885014763
A,0.1007927621882027
A,0.1206238683539097
A,0.1499570046183234
A,0.0577084296754997
A,0.1022859036393185
A,0.0749451050664378
A,0.0875296090334125
A,0.0939243013987607
A,0.2920086876347096
A,0.0626829444150675
A,0.0698653519601541
A,0.0490457308577817
A,0.0458523062460075
A,0.2900935410220533
A,0.0671318904025612
A,0.0797221080609627
A,0.2185247462687501
A,0.0619038922899335
A,0.0826815355850313
A,0.1792780665872156
A,0.3090174419626179
A,0.0471862231029055
A,0.0951349537149958
A,0.0620433176387174
A,0.089859840941325
A,0.0807104441366355
A,0.1761355357768995
A,0.0588994211898318
A,0.0563066230232585
A,0.0577976126024117
A,0.1042755804999719
A,0.0766471666611836
A,0.2073557128060405
A,0.068606756626941
A,0.0568563871782882
A,0.094311034101381
A,0.0401803940274037
A,0.0757458733349928
A,0.0930123071579103
A,0.1037144349741012
A,0.121934955376363
A,0.0690028130213023
A,0.1445599466881565
A,0.2667285040771804
A,0.1104444656069309
A,0.0378581703206839
A,0.0472778197346452
A,0.0982349907908205
A,0.1233642883234419
A,0.0683721778974059
A,0.1238878312520651
A,0.0776547711689722
A,0.0622208237974944
A,0.0587485649173082
A,0.0627439523134293
A,0.0486609547949281
A,0.1511059778911029
A,0.1907347888347569
A,0.1862345083743322
A,0.0356616171278922
A,0.0538352184475284
A,0.0502024220089079
A,0.3994135238187301
A,0.0653332131980403
A,0.0896734992739249
A,0.0628830854715625
A,0.1398719925442198
A,0.0582926945980667
A,0.0647958937312138
A,0.0973169715520996
A,0.0597500761409595
A,0.1158745809950003
A,0.0768540066361758
B,0.1099034060645366
B,0.0481655114398495
B,0.0598944602290484
B,0.0915820126556785
B,0.0623000762781149
B,0.0760130364945504
B,0.0392794078730894
B,0.0727546329366931
B,0.2195340710227882
B,0.0692968384554939
B,0.1062245016300728
B,0.1287582894237612
B,0.0455462707539904
B,0.0887725266575971
B,0.0801134397225791
B,0.125890002509775
B,0.0572091717614057
B,0.0492982604664073
B,0.0644268648918483
B,0.0547836142641952
B,0.1390741455079114
B,0.0778432451133935
B,0.0723854774336183
B,0.0923409478054493
B,0.0526613508702555
B,0.0440437948396213
B,0.0451602987804979
B,0.0412469294061717
B,0.033609992549799
B,0.0456303729306757
B,0.0582649900662273
B,0.056095916847498
B,0.0405136214673688
B,0.0537274768093411
B,0.118663927539865
B,0.0505796642231461
B,0.127537193338785
B,0.0616634767128137
B,0.0516130090308199
B,0.0766885855532923
B,0.0847072497904135
B,0.0627849920986872
B,0.1060057934322677
B,0.0703805813952349
B,0.0460498714287938
B,0.1332108334100197
B,0.1537517937295179
B,0.1292748771222847
B,0.0973109415547371
B,0.0655290675193293
B,0.0616597779511219
B,0.0800720457343516
B,0.0517511902344821
B,0.1371669208350338
B,0.0493676111920564
B,0.0414079910338025
B,0.0515528541589855
B,0.0423826774797551
B,0.1063030990906289
B,0.04901787009919
B,0.063291710400117
B,0.0330680433961951
B,0.1205181810106466
B,0.0534773618903862
B,0.0334970813178215
B,0.0849770377193475
B,0.0653635878902106
B,0.0626903146315879
B,0.0500837475475606
B,0.0341116180770733
B,0.0606889221667236
B,0.0437945822887452
B,0.0437876996716211
B,0.0653547811070201
B,0.0669846085013014
B,0.0493087282160513
B,0.0861904984444045
B,0.1198546671311747
B,0.0485073321013114
B,0.0704910074948689
B,0.0402873520637116
B,0.0435320141559993
B,0.0773730539462715
B,0.0673328610525426
B,0.0779082396214625
