umap1,umap2,dynamics_bin,stage_label
-2.6010458,-2.163561,1,S1-2
1.2115313,0.51468784,0,S0
-0.6531831,0.9687597,0,S0
0.6081842,-0.26030928,0,S0
3.8664536,2.758772,0,S0
-7.109703,-1.1813322,2,S3-6
-5.7610373,-3.101727,2,S3-6
-0.04395531,2.1435616,0,S0
0.068114705,2.291755,0,S0
2.805796,2.576218,0,S0
-4.0620527,0.6298722,0,S0
0.7935564,3.1275542,0,S0
-3.5214021,-1.6136323,1,S1-2
-9.804898,-3.519702,4,S16-20
-9.943599,-3.5444217,4,S16-20
0.8929004,3.3479412,0,S0
3.1333122,1.9281182,0,S0
2.2889397,-0.16961558,1,S1-2
2.082355,2.015385,0,S0
0.9905666,3.2420697,0,S0
3.644702,2.1060927,0,S0
-7.5083814,-2.224142,3,S7-15
-2.3016086,1.9696048,0,S0
-3.0792842,1.011873,0,S0
0.17948772,0.33557838,0,S0
1.116701,1.3323421,0,S0
-5.75958,-0.89289355,2,S3-6
0.11625738,1.0482919,0,S0
-2.0884278,-0.25307617,1,S1-2
-4.6645174,1.2987585,1,S1-2
4.052734,2.1644247,0,S0
-7.6528316,-3.4116647,3,S7-15
-8.523908,-3.6878822,3,S7-15
-1.4034393,2.4848547,0,S0
-8.053288,-2.4228811,3,S7-15
-6.2182465,-3.0819528,3,S7-15
1.5949503,1.7039204,0,S0
-4.6345944,-0.51135296,1,S1-2
-3.7813878,-1.2112633,1,S1-2
0.1626768,0.2073277,0,S0
1.7211397,2.6304934,0,S0
1.2953026,2.565359,0,S0
1.1568893,2.6211438,0,S0
3.0284314,2.9578397,0,S0
-9.115322,-4.5175195,4,S16-20
1.9601501,2.918732,0,S0
-4.7234607,-2.831004,2,S3-6
0.08401176,2.9177344,0,S0
-0.39965728,2.3060958,0,S0
-1.1212784,1.9406668,0,S0
-2.0985012,2.4880652,0,S0
-4.6893244,-0.58281815,1,S1-2
-6.0749927,-0.41779697,2,S3-6
-7.0420156,-1.53537,2,S3-6
-5.235419,-1.2756068,1,S1-2
-8.524926,-2.95892,3,S7-15
-3.1197107,2.3954232,1,S1-2
-6.0318,-3.3053184,2,S3-6
-3.2920892,0.32044435,1,S1-2
3.645854,0.8001501,0,S0
-0.584588,2.4381368,0,S0
-8.544424,-3.51166,4,S16-20
3.9915297,2.2054417,0,S0
4.1405883,2.1168869,0,S0
2.7013958,2.413791,0,S0
3.6680198,3.0804074,0,S0
0.80804,0.7433893,0,S0
-8.22343,-4.3677564,3,S7-15
-0.4019556,1.0566347,0,S0
